classifier,n_splits,auc_mean,auc_std,accuracy_mean,sensitivity_mean,specificity_mean,precision_mean,f1_mean,brier_mean
RFC,5,1.0,0.0,0.9925,0.9960000000000001,0.9866666666666667,0.9923076923076923,0.994058229352347,0.009291283779124835
XGB,5,0.9998666666666667,0.0002981423969999934,0.9949999999999999,0.992,1.0,1.0,0.995959595959596,0.003902719708275981
LR,5,0.9996,0.0008944271909999374,0.9949999999999999,0.992,1.0,1.0,0.995959595959596,0.008996498948421989
MLP,5,0.992,0.011065461781798576,0.9574999999999999,0.952,0.9666666666666666,0.9795782142644291,0.9653633404577571,0.07978556667794387
