generator,size_multiplier,auc_mean_over_classifiers,brier_mean_over_classifiers,f1_mean_over_classifiers,n_evaluations,pcd_mean,ws_mean,js_mean,missingness_mae_mean,missingness_js_mean,dcr_mean,dcr_p05,dcr_min,real_nn_mean,dcr_ratio_mean,fraction_below_real_nn_p05_mean,exact_duplicate_rate_mean,exact_duplicate_rate_max,feature_duplicate_rate_mean,internal_duplicate_rate_mean,range_violation_rate_mean,target_1_rate_abs_diff_mean
COND_DDPM,1,0.9952777777777777,0.04377413705837051,0.9678203391544908,15,0.08587646477014384,0.2710152209291914,0.008085463214920029,0.054184027777777775,0.0053565942544526405,3.492796230316162,2.3116485595703127,1.0148745775222778,2.920677423477173,1.1958953380584716,0.0014583333333333334,0.0,0.0,0.0,0.0,0.00014708021241350525,0.015416666666666664
COND_DDPM,2,0.9973888888888889,0.03797889024293796,0.9677549668434058,15,0.07880456287053234,0.26471146002861595,0.00736076358038716,0.05520833333333333,0.005373575751625293,3.4773844401041667,2.270456616083781,0.81021648645401,2.920677423477173,1.1906192382176717,0.0010416666666666667,0.0,0.0,0.0,0.0,0.00012158142695296331,0.013541666666666667
COND_DDPM,3,0.9976222222222223,0.03505943020104901,0.9672391859492482,15,0.07788974342024746,0.2639853716244003,0.006998315054453134,0.05594039351851852,0.005418116071744844,3.482876427968343,2.263720671335856,0.8308451771736145,2.920677423477173,1.192483941713969,0.0010416666666666667,0.0,0.0,0.0,0.0,0.0001473428320609231,0.010486111111111108
EMPIRICAL_BOOTSTRAP,1,0.998,0.029545433987191054,0.9861940895540598,15,0.036235217744908656,0.07802951848174676,0.0011557959942527336,0.010442708333333333,0.0003865702713459917,9.410550945906001e-09,0.0,0.0,2.920677423477173,3.2201653565877564e-09,1.0,1.0,1.0,1.0,0.36395833333333333,0.0,0.024791666666666677
EMPIRICAL_BOOTSTRAP,2,0.9992333333333333,0.016670028012564522,0.9900980318185008,15,0.025756069706902678,0.048784745511845924,0.0006065213545287483,0.009036458333333334,0.00026406126913265166,9.523967718176134e-09,0.0,0.0,2.920677423477173,3.2589775322833248e-09,1.0,1.0,1.0,1.0,0.5661458333333333,0.0,0.019687500000000007
EMPIRICAL_BOOTSTRAP,3,0.9992444444444444,0.013528497370063754,0.9925148738233569,15,0.020789284579843043,0.040499596641231914,0.000323809083404153,0.00603587962962963,0.00011830716048188434,9.553322636672116e-09,0.0,0.0,2.920677423477173,3.268935551877424e-09,1.0,1.0,1.0,1.0,0.6840972222222222,0.0,0.010763888888888884
GAUSSIAN_EMPIRICAL,1,0.9954222222222222,0.03879729693616235,0.9745700410423835,15,0.08322664339380205,0.15467153662877714,0.0010332078420416315,0.010243055555555556,0.00035083219076224094,3.2640628655751547,1.2706363836924235,0.6576137542724609,2.920677423477173,1.117633620897929,0.04291666666666667,0.0,0.0,0.0,0.0,0.0,0.01895833333333333
GAUSSIAN_EMPIRICAL,2,0.996788888888889,0.031036017455355388,0.979979171047529,15,0.07845797173231496,0.1468390770004625,0.0005146162378369266,0.00732638888888889,0.00019236326597533009,3.287931283315023,1.2913522243499755,0.6002996563911438,2.920677423477173,1.1257739305496215,0.03885416666666666,0.0,0.0,0.0,0.0,0.0,0.011041666666666675
GAUSSIAN_EMPIRICAL,3,0.9975444444444445,0.022055452204358048,0.9844185835212829,15,0.07625617511983526,0.14586813154517175,0.0003809040164746301,0.006585648148148148,0.00013349194695753782,3.2780783971150718,1.2746475378672282,0.5990204811096191,2.920677423477173,1.1224072058995564,0.04111111111111111,0.0,0.0,0.0,0.0,0.0,0.01416666666666666
