generator,size_multiplier,n_files,n_splits,dcr_mean,dcr_std,dcr_median,dcr_p05,dcr_min,class_dcr_mean,real_nn_mean,dcr_mean_to_real_nn_ratio,fraction_below_real_nn_p05,exact_duplicate_rate,exact_duplicate_rate_max,feature_duplicate_rate,internal_duplicate_rate,target_1_rate_abs_diff,out_of_range_value_rate,rows_with_out_of_range_rate
COPULA,1.0,60,3,1.8142766057263158,0.7436717293606281,1.6981603763139161,0.9232812128837656,0.23686270719647817,1.9384945429750915,1.1631435223026718,1.5600152585371239,0.00768186753528773,0.0,0.0,0.0,0.0,0.018621064060803477,0.006816639522258415,0.050760043431053205
COPULA,2.0,60,3,1.8077621811360545,0.7398902403787023,1.6875829174359016,0.9213147991967291,0.2161713366393489,1.931735013282875,1.1631435223026718,1.55443917305238,0.0077497285559174805,0.0,0.0,0.0,0.0,0.017901737242128127,0.007057546145494029,0.05228013029315961
COPULA,3.0,60,3,1.8104323551179617,0.7363628010439256,1.6907770213574438,0.919492496956584,0.20006915624906518,1.9334668925509157,1.1631435223026718,1.5567155504927415,0.008188563155989866,0.0,0.0,0.0,0.0,0.014106044154904096,0.006924086138255519,0.05128483532392327
CTGAN,1.0,28,3,1.8758899334489765,0.7500718502370237,1.7773639403002706,1.0017941989789105,0.2442503283268095,2.000840447365405,1.1662649682043438,1.6092869401126735,0.007096323871568172,0.0,0.0,0.0,0.0,0.017798976268031643,0.004369765006979991,0.032922289436947416
CTGAN,2.0,28,3,1.8714853178696078,0.7468129435028544,1.7766062482215432,0.9926679386791245,0.23910829024393038,1.9924644127781759,1.1662649682043438,1.6055091991746482,0.00668915774778967,0.0,0.0,0.0,2.908329455560727e-05,0.011924150767798982,0.00448973359702187,0.03396928804094928
CTGAN,3.0,28,3,1.8745709933101524,0.756480685812185,1.785386722742447,0.9945690982519808,0.21724821049938345,1.9990913422753227,1.1662649682043438,1.608177692978795,0.006592213432604312,0.0,0.0,0.0,3.877772607414303e-05,0.011420040328835122,0.004229195749961222,0.03247634558709477
TVAE,1.0,60,3,1.2006586449575427,0.06259055198525583,1.1276235696529837,0.6670391347674415,0.1935143929876171,1.259549912295003,1.1631435223026718,1.032297876265662,0.021281216069489683,0.0,0.0,0.0,0.0,0.018783930510314874,0.0007295059717698154,0.005836047774158523
TVAE,2.0,60,3,1.2022198505946864,0.05870631881940457,1.1291121218350222,0.6589466951330526,0.22493013646981103,1.2616425935874958,1.1631435223026718,1.0336432402101812,0.020860477741585233,0.0,0.0,0.0,0.0,0.01680238870792617,0.0007685260586319219,0.0061346362649294245
TVAE,3.0,60,3,1.2018584564550734,0.05924566462896052,1.1294565035931694,0.664003087078861,0.1648717432005533,1.2601779588217867,1.1631435223026718,1.033329190868162,0.02041259500542888,0.0,0.0,0.0,0.0,0.015816141874773804,0.000795104958378574,0.006333695258776692
