split,generator,synthetic_file,source,classifier,size_multiplier,n_train_rows,n_synthetic_available,pcd,js,ws,accuracy,auc,sensitivity,specificity,precision,f1,brier
0,REAL,real_train,real_baseline,lr,1.0,614,614,nan,nan,nan,0.7402597402597403,0.7877777777777778,0.6111111111111112,0.81,0.6346153846153846,0.6226415094339622,0.18014235176091703
0,REAL,real_train,real_baseline,xgb,1.0,614,614,nan,nan,nan,0.7077922077922078,0.8012962962962963,0.7222222222222222,0.7,0.5652173913043478,0.6341463414634146,0.17959755659103394
0,TVAE,0.csv,synthetic,lr,1.0,614,12690,1.6152861923217192,0.359175054903409,0.0874992567564141,0.7012987012987013,0.8088888888888889,0.7962962962962963,0.65,0.5512820512820513,0.6515151515151515,0.2137567915095945
0,TVAE,0.csv,synthetic,xgb,1.0,614,12690,1.6152861923217192,0.359175054903409,0.0874992567564141,0.6623376623376623,0.7692592592592592,0.8888888888888888,0.54,0.5106382978723404,0.6486486486486487,0.26244106888771057
0,TVAE,0.csv,synthetic,lr,2.0,1228,12690,1.6152861923217192,0.359175054903409,0.0874992567564141,0.7142857142857143,0.8122222222222222,0.8518518518518519,0.64,0.5609756097560976,0.6764705882352942,0.2150539162784248
0,TVAE,0.csv,synthetic,xgb,2.0,1228,12690,1.6152861923217192,0.359175054903409,0.0874992567564141,0.6623376623376623,0.7922222222222223,0.8518518518518519,0.56,0.5111111111111111,0.6388888888888888,0.25095537304878235
0,TVAE,0.csv,synthetic,lr,3.0,1842,12690,1.6152861923217192,0.359175054903409,0.0874992567564141,0.7207792207792207,0.8074074074074074,0.8888888888888888,0.63,0.5647058823529412,0.6906474820143885,0.2283464315275706
0,TVAE,0.csv,synthetic,xgb,3.0,1842,12690,1.6152861923217192,0.359175054903409,0.0874992567564141,0.6298701298701299,0.7757407407407407,0.8888888888888888,0.49,0.48484848484848486,0.6274509803921569,0.2738679051399231
0,TVAE,1.csv,synthetic,lr,1.0,614,12690,1.0974656042209747,0.3583658384808543,0.0857411215218868,0.7012987012987013,0.7992592592592592,0.7222222222222222,0.69,0.5571428571428572,0.6290322580645161,0.2041128634999921
0,TVAE,1.csv,synthetic,xgb,1.0,614,12690,1.0974656042209747,0.3583658384808543,0.0857411215218868,0.7142857142857143,0.8098148148148149,0.7777777777777778,0.68,0.5675675675675675,0.65625,0.1972506195306778
0,TVAE,1.csv,synthetic,lr,2.0,1228,12690,1.0974656042209747,0.3583658384808543,0.0857411215218868,0.7077922077922078,0.7805555555555556,0.7222222222222222,0.7,0.5652173913043478,0.6341463414634146,0.2142665100527163
0,TVAE,1.csv,synthetic,xgb,2.0,1228,12690,1.0974656042209747,0.3583658384808543,0.0857411215218868,0.6818181818181818,0.7833333333333333,0.7037037037037037,0.67,0.5352112676056338,0.608,0.2018360048532486
0,TVAE,1.csv,synthetic,lr,3.0,1842,12690,1.0974656042209747,0.3583658384808543,0.0857411215218868,0.7012987012987013,0.7848148148148147,0.7222222222222222,0.69,0.5571428571428572,0.6290322580645161,0.21019864248428194
0,TVAE,1.csv,synthetic,xgb,3.0,1842,12690,1.0974656042209747,0.3583658384808543,0.0857411215218868,0.7012987012987013,0.7748148148148148,0.8148148148148148,0.64,0.55,0.6567164179104478,0.20831497013568878
0,TVAE,2.csv,synthetic,lr,1.0,614,12690,1.2898526483725152,0.3662241617810833,0.0937205983087205,0.6883116883116883,0.8068518518518518,0.9259259259259259,0.56,0.5319148936170213,0.6756756756756757,0.2458472447558425
0,TVAE,2.csv,synthetic,xgb,1.0,614,12690,1.2898526483725152,0.3662241617810833,0.0937205983087205,0.5909090909090909,0.7355555555555555,0.9074074074074074,0.42,0.45794392523364486,0.6086956521739131,0.33853965997695923
0,TVAE,2.csv,synthetic,lr,2.0,1228,12690,1.2898526483725152,0.3662241617810833,0.0937205983087205,0.6753246753246753,0.8062962962962962,0.9074074074074074,0.55,0.5212765957446809,0.6621621621621622,0.2512193534059382
0,TVAE,2.csv,synthetic,xgb,2.0,1228,12690,1.2898526483725152,0.3662241617810833,0.0937205983087205,0.6168831168831169,0.7848148148148147,0.9074074074074074,0.46,0.47572815533980584,0.6242038216560509,0.3127404749393463
0,TVAE,2.csv,synthetic,lr,3.0,1842,12690,1.2898526483725152,0.3662241617810833,0.0937205983087205,0.6688311688311688,0.8094444444444445,0.9074074074074074,0.54,0.5157894736842106,0.6577181208053692,0.25027111136700037
0,TVAE,2.csv,synthetic,xgb,3.0,1842,12690,1.2898526483725152,0.3662241617810833,0.0937205983087205,0.5974025974025974,0.7518518518518518,0.9259259259259259,0.42,0.46296296296296297,0.6172839506172839,0.3125836253166199
0,TVAE,3.csv,synthetic,lr,1.0,614,12690,1.7051018118878671,0.361087466577094,0.0991594809115033,0.7077922077922078,0.7937037037037038,0.7962962962962963,0.66,0.5584415584415584,0.6564885496183206,0.22348160001095155
0,TVAE,3.csv,synthetic,xgb,1.0,614,12690,1.7051018118878671,0.361087466577094,0.0991594809115033,0.6883116883116883,0.7849999999999999,0.7962962962962963,0.63,0.5375,0.6417910447761194,0.22268202900886536
0,TVAE,3.csv,synthetic,lr,2.0,1228,12690,1.7051018118878671,0.361087466577094,0.0991594809115033,0.7142857142857143,0.8003703703703704,0.7222222222222222,0.71,0.5735294117647058,0.639344262295082,0.20343051192244985
0,TVAE,3.csv,synthetic,xgb,2.0,1228,12690,1.7051018118878671,0.361087466577094,0.0991594809115033,0.6753246753246753,0.7792592592592592,0.6851851851851852,0.67,0.5285714285714286,0.5967741935483871,0.2147398144006729
0,TVAE,3.csv,synthetic,lr,3.0,1842,12690,1.7051018118878671,0.361087466577094,0.0991594809115033,0.6948051948051948,0.7938888888888889,0.7222222222222222,0.68,0.5492957746478874,0.624,0.20733093234956926
0,TVAE,3.csv,synthetic,xgb,3.0,1842,12690,1.7051018118878671,0.361087466577094,0.0991594809115033,0.6883116883116883,0.7975925925925925,0.7592592592592593,0.65,0.5394736842105263,0.6307692307692307,0.19784754514694214
0,TVAE,4.csv,synthetic,lr,1.0,614,42300,1.3248936144998498,0.3625072045449953,0.09883064121348,0.7012987012987013,0.7875925925925926,0.7407407407407407,0.68,0.5555555555555556,0.6349206349206349,0.22107440637154632
0,TVAE,4.csv,synthetic,xgb,1.0,614,42300,1.3248936144998498,0.3625072045449953,0.09883064121348,0.7077922077922078,0.7864814814814814,0.6851851851851852,0.72,0.5692307692307692,0.6218487394957983,0.21609754860401154
0,TVAE,4.csv,synthetic,lr,2.0,1228,42300,1.3248936144998498,0.3625072045449953,0.09883064121348,0.7012987012987013,0.7953703703703703,0.7222222222222222,0.69,0.5571428571428572,0.6290322580645161,0.21604429913521622
0,TVAE,4.csv,synthetic,xgb,2.0,1228,42300,1.3248936144998498,0.3625072045449953,0.09883064121348,0.6688311688311688,0.8022222222222222,0.7407407407407407,0.63,0.5194805194805194,0.6106870229007634,0.2220487892627716
0,TVAE,4.csv,synthetic,lr,3.0,1842,42300,1.3248936144998498,0.3625072045449953,0.09883064121348,0.6883116883116883,0.7909259259259259,0.7037037037037037,0.68,0.5428571428571428,0.6129032258064516,0.21494126598198143
