generator,size_multiplier,n_files,n_splits,dcr_mean,dcr_p05,dcr_min,real_nn_mean,dcr_mean_to_real_nn_ratio,fraction_below_real_nn_p05,exact_duplicate_rate,feature_duplicate_rate,internal_duplicate_rate,target_1_rate_abs_diff,out_of_range_value_rate
COPULA,3.0,60,3,1.8104323551179617,0.919492496956584,0.20006915624906518,1.1631435223026718,1.5567155504927415,0.008188563155989866,0.0,0.0,0.0,0.014106044154904096,0.006924086138255519
CTGAN,3.0,28,3,1.8745709933101524,0.9945690982519808,0.21724821049938345,1.1662649682043438,1.608177692978795,0.006592213432604312,0.0,0.0,3.877772607414303e-05,0.011420040328835122,0.004229195749961222
TVAE,3.0,60,3,1.2018584564550734,0.664003087078861,0.1648717432005533,1.1631435223026718,1.033329190868162,0.02041259500542888,0.0,0.0,0.0,0.015816141874773804,0.000795104958378574
