source,release_seed,rows,target_positive_rate,target_rate_abs_diff,normalized_wasserstein_mean_numeric,js_divergence_mean_numeric,js_divergence_mean_categorical,js_divergence_mean_all_features,pairwise_correlation_difference,pcd_encoded_dimensions,missingness_mae_all_features,categorical_support_coverage_mean,rare_categorical_support_coverage_mean,numeric_range_coverage_mean,exact_duplicate_rate_vs_real_source,internal_duplicate_rate
GREAT_20K,0,19999,0.113906,6e-06,0.032273,0.024378,0.014425,0.016321,0.004178,944,0.004106,0.819619,0.684668,0.701687,0.0,0.0
GAUSSIAN_EMPIRICAL_20K,41,20000,0.1139,0.0,0.028425,0.038276,0.000261,0.007502,0.004346,944,0.000163,0.989367,0.984921,0.678767,0.0,0.0
EMPIRICAL_BOOTSTRAP_20K,41,20000,0.1139,0.0,0.001953,8.8e-05,0.000246,0.000216,0.002936,944,8.6e-05,0.968891,0.948278,0.985338,1.0,0.6324
GAUSSIAN_EMPIRICAL_20K,42,20000,0.1139,0.0,0.028869,0.038881,0.000261,0.007617,0.004321,944,4.6e-05,0.995599,0.992619,0.693518,0.0,0.0
EMPIRICAL_BOOTSTRAP_20K,42,20000,0.1139,0.0,0.001111,7.6e-05,0.00024,0.000209,0.002949,944,9e-05,0.961434,0.928559,0.992188,1.0,0.6329
GAUSSIAN_EMPIRICAL_20K,43,20000,0.1139,0.0,0.029296,0.038804,0.000235,0.007581,0.004337,944,8.1e-05,0.951856,0.909199,0.675432,0.0,0.0
EMPIRICAL_BOOTSTRAP_20K,43,20000,0.1139,0.0,0.001326,0.000101,0.00026,0.00023,0.002989,944,0.000135,0.950776,0.900544,1.0,1.0,0.63135
REAL_VALIDATION_REFERENCE,0,9935,0.113941,4.1e-05,0.002261,0.000282,0.000935,0.000811,0.003714,944,0.000282,0.89137,0.798377,0.922738,0.0,0.0
