source,release_seed,synthetic_rows,synthetic_positive_rate,dcr_mean,dcr_median,dcr_p05,dcr_min,real_nn_mean,real_nn_median,real_nn_p05,dcr_to_real_nn_mean_ratio,fraction_dcr_below_real_nn_p05,exact_duplicate_rate_vs_real_source,internal_duplicate_rate,mia_auroc_macro_target,mia_auroc_pooled,mia_auroc_pooled_ci_low,mia_auroc_pooled_ci_high,mia_tpr_at_fpr_0_01_pooled,mia_tpr_at_fpr_0_05_pooled,mia_tpr_at_fpr_0_10_pooled
GREAT_20K,0,19999,0.113906,0.428114,0.422722,0.327856,0.192377,0.492656,0.476298,0.361144,0.868992,0.145157,0.0,0.0,0.502567,0.499114,0.488949,0.50836,0.012396,0.056761,0.103572
EMPIRICAL_BOOTSTRAP_20K,41,20000,0.1139,0.0,0.0,0.0,0.0,0.492656,0.476298,0.361144,0.0,1.0,1.0,0.6324,0.821616,0.820322,0.812104,0.828205,0.64182,0.65601,0.674441
EMPIRICAL_BOOTSTRAP_20K,42,20000,0.1139,0.0,0.0,0.0,0.0,0.492656,0.476298,0.361144,0.0,1.0,1.0,0.6329,0.808938,0.810348,0.803184,0.818041,0.62551,0.643451,0.661719
EMPIRICAL_BOOTSTRAP_20K,43,20000,0.1139,0.0,0.0,0.0,0.0,0.492656,0.476298,0.361144,0.0,1.0,1.0,0.63135,0.812923,0.815742,0.807587,0.823383,0.633991,0.651933,0.67281
GAUSSIAN_EMPIRICAL_20K,41,20000,0.1139,0.583589,0.57186,0.452159,0.286857,0.492656,0.476298,0.361144,1.184577,0.00055,0.0,0.0,0.499619,0.499903,0.49053,0.509942,0.011254,0.052357,0.094438
GAUSSIAN_EMPIRICAL_20K,42,20000,0.1139,0.584156,0.571995,0.452003,0.305039,0.492656,0.476298,0.361144,1.185728,0.00075,0.0,0.0,0.497891,0.498449,0.488941,0.509302,0.009134,0.049421,0.097537
GAUSSIAN_EMPIRICAL_20K,43,20000,0.1139,0.583629,0.571218,0.452708,0.299217,0.492656,0.476298,0.361144,1.184657,0.0007,0.0,0.0,0.50097,0.496903,0.487931,0.507108,0.010276,0.052846,0.100147
