classifier,best_ddpm_size,ddpm_auc_mean,ddpm_auc_std,real_auc_mean,real_auc_std,auc_gap_ddpm_minus_real,ddpm_accuracy_mean,real_accuracy_mean,ddpm_sensitivity_mean,real_sensitivity_mean,ddpm_specificity_mean,real_specificity_mean,ddpm_f1_mean,real_f1_mean,ddpm_brier_mean,real_brier_mean,brier_gap_ddpm_minus_real,pcd_mean,ws_mean,js_mean,dcr_mean,dcr_min,duplicate_rate_mean
lr,3,0.9247474747474748,0.0283130105593292,0.9294372294372296,0.0221716244306234,-0.004689754689754855,0.8437158469945356,0.8459016393442622,0.7666666666666667,0.8071428571428572,0.9090909090909092,0.8787878787878787,0.816865068300082,0.8266236641516462,0.111975560734317,0.1073748432090905,0.0046007175252264915,0.0651403050419307,0.1646036506753471,0.0025945994962601,2.043811575571696,0.2741884291172027,0.0
mlp,3,0.9126262626262628,0.0334860514086219,0.8928571428571429,0.0341552680477478,0.01976911976911988,0.819672131147541,0.8131147540983606,0.7238095238095238,0.8285714285714286,0.901010101010101,0.8,0.782818285158308,0.8027980871719528,0.1363518545721999,0.1616655525906338,-0.025313698018433917,0.0651403050419307,0.1646036506753471,0.0025945994962601,2.043811575571696,0.2741884291172027,0.0
rfc,2,0.8994949494949495,0.0322422265681128,0.90995670995671,0.0308811580284546,-0.010461760461760505,0.8032786885245902,0.8032786885245902,0.7666666666666667,0.7785714285714286,0.8343434343434344,0.8242424242424242,0.7812271951824574,0.7824347699819398,0.1365422332287065,0.1231246409233674,0.013417592305339107,0.068398778135882,0.1657628745466531,0.0028575363370876,2.038490160306295,0.2470801323652267,0.0
xgb,3,0.8932900432900434,0.0425371291001046,0.8991341991341992,0.0382434518403543,-0.005844155844155874,0.8153005464480875,0.8229508196721312,0.7309523809523809,0.7857142857142858,0.8868686868686868,0.8545454545454545,0.7815726911687529,0.8009407084878782,0.1303639560937881,0.1268523082137108,0.0035116478800772954,0.0651403050419307,0.1646036506753471,0.0025945994962601,2.043811575571696,0.2741884291172027,0.0
