size_multiplier,auc_mean,auc_std_across_classifiers,accuracy_mean,sensitivity_mean,specificity_mean,f1_mean,brier_mean
1,0.8715187590187591,0.03983408794039553,0.7887978142076503,0.7101190476190476,0.8555555555555555,0.7493667647768514,0.1507973149849193
2,0.903553391053391,0.013799396845592246,0.8131147540983606,0.7517857142857143,0.8651515151515152,0.7848450564047489,0.13359677869628298
3,0.9073051948051949,0.014206832885749882,0.8207650273224044,0.7404761904761905,0.8888888888888888,0.7892679792661974,0.12832089726991208
