dataset,generator,size_multiplier,n_splits,n_releases,class_conditional_attack_auc_mean,class_conditional_attack_auc_std,class_conditional_attack_auc_ci95_low,class_conditional_attack_auc_ci95_high,class_conditional_tpr_at_fpr_10_mean,class_conditional_member_distance_mean_mean,class_conditional_nonmember_distance_mean_mean,class_conditional_distance_gap_nonmember_minus_member_mean,class_conditional_member_exact_match_rate_mean,class_conditional_nonmember_exact_match_rate_mean,risk_interpretation
CKD,COND_DDPM,3,5,15,0.5228125,0.030351425644085835,0.48512622748358014,0.5604987725164199,0.10833333333333332,3.410788475821099,3.5247241943653798,0.1139357185442806,0.0,0.0,no or very weak signal
CKD,EMPIRICAL_BOOTSTRAP,3,5,15,0.9698541666666667,0.0029304455037918765,0.9662155379859102,0.9734927953474232,0.9466666666666667,0.19146115268237326,3.2672858542276773,3.0758247015453035,0.8099999999999999,0.0,strong signal
CKD,GAUSSIAN_EMPIRICAL,3,5,15,0.5070416666666666,0.01635604918836096,0.4867329492366289,0.5273503840967043,0.12250000000000001,3.4994168990512877,3.5129149452396993,0.013498046188411486,0.0,0.0,no or very weak signal
Cleveland,COND_DDPM,3,5,15,0.5651706530502554,0.04465319713309249,0.5097263857653989,0.6206149203351119,0.13989071038251366,1.8475563875385077,1.9756094811267768,0.12805309358826913,0.0,0.0,weak signal
Cleveland,EMPIRICAL_BOOTSTRAP,3,5,15,0.9767446027053659,0.014744361913722987,0.9584370593406093,0.9950521460701225,0.9595628415300548,0.09830181631144481,2.1318353051308763,2.0335334888194314,0.8437158469945356,0.0,strong signal
Cleveland,GAUSSIAN_EMPIRICAL,3,5,15,0.5143061900922692,0.05925805738864028,0.440727593629302,0.5878847865552363,0.12349726775956285,1.9475200132085981,1.987400427666709,0.039880414458111184,0.0,0.0,no or very weak signal
PIMA,COPULA,3,3,60,0.5066600607185022,0.04780671130513645,0.38790160629065196,0.6254185151463525,0.10378787878787878,2.520677754324678,2.59848750808329,0.07780975375861218,0.0,0.0,no or very weak signal
PIMA,EMPIRICAL_BOOTSTRAP,3,3,9,0.9723768295196865,0.0079994432319959,0.9525051109140795,0.9922485481252935,0.9559884559884559,0.07955322992372248,1.5387298381263355,1.4591766082026127,0.6341991341991342,0.0,strong signal
PIMA,TVAE,3,3,60,0.518383510428965,0.06768160767632767,0.3502530764083088,0.6865139444496212,0.1383116883116883,2.327506257910102,2.45394904289569,0.12644278498558778,0.0,0.0,no or very weak signal
