dataset,generator,size_multiplier,n_splits,n_releases,class_conditional_fallback_count_mean,class_conditional_fallback_count_std,unconditional_attack_auc_mean,unconditional_attack_auc_std,unconditional_distinguishability_auc_mean,unconditional_distinguishability_auc_std,unconditional_distinguishability_advantage_mean,unconditional_distinguishability_advantage_std,unconditional_tpr_at_fpr_01_mean,unconditional_tpr_at_fpr_01_std,unconditional_tpr_at_fpr_05_mean,unconditional_tpr_at_fpr_05_std,unconditional_tpr_at_fpr_10_mean,unconditional_tpr_at_fpr_10_std,unconditional_member_distance_mean_mean,unconditional_member_distance_std_std,unconditional_member_distance_median_mean,unconditional_member_distance_median_std,unconditional_nonmember_distance_mean_mean,unconditional_nonmember_distance_std_std,unconditional_nonmember_distance_median_mean,unconditional_nonmember_distance_median_std,unconditional_distance_gap_nonmember_minus_member_mean,unconditional_distance_gap_nonmember_minus_member_std,unconditional_member_exact_match_rate_mean,unconditional_member_exact_match_rate_std,unconditional_nonmember_exact_match_rate_mean,unconditional_nonmember_exact_match_rate_std,class_conditional_attack_auc_mean,class_conditional_attack_auc_std,class_conditional_distinguishability_auc_mean,class_conditional_distinguishability_auc_std,class_conditional_distinguishability_advantage_mean,class_conditional_distinguishability_advantage_std,class_conditional_tpr_at_fpr_01_mean,class_conditional_tpr_at_fpr_01_std,class_conditional_tpr_at_fpr_05_mean,class_conditional_tpr_at_fpr_05_std,class_conditional_tpr_at_fpr_10_mean,class_conditional_tpr_at_fpr_10_std,class_conditional_member_distance_mean_mean,class_conditional_member_distance_std_std,class_conditional_member_distance_median_mean,class_conditional_member_distance_median_std,class_conditional_nonmember_distance_mean_mean,class_conditional_nonmember_distance_std_std,class_conditional_nonmember_distance_median_mean,class_conditional_nonmember_distance_median_std,class_conditional_distance_gap_nonmember_minus_member_mean,class_conditional_distance_gap_nonmember_minus_member_std,class_conditional_member_exact_match_rate_mean,class_conditional_member_exact_match_rate_std,class_conditional_nonmember_exact_match_rate_mean,class_conditional_nonmember_exact_match_rate_std,class_conditional_attack_auc_ci95_low,class_conditional_attack_auc_ci95_high,risk_interpretation
CKD,COND_DDPM,1,5,15,0.0,0.0,0.51765625,0.027445594066817982,0.52803125,0.014147428726921846,0.056062500000000036,0.028294857453843712,0.014166666666666666,0.009592387027684448,0.06666666666666667,0.01530931089239486,0.12,0.0346610572384757,3.724072025512112,0.04456263131808418,3.534437150679449,0.09562114258530097,3.808956441958183,0.14173435205759388,3.641425940342529,0.14840308766489,0.0848844164460715,0.16662972177130642,0.0,0.0,0.0,0.0,0.51990625,0.024008563739059827,0.5272395833333332,0.014969859040334986,0.05447916666666661,0.02993971808066997,0.014166666666666666,0.009592387027684448,0.06833333333333333,0.017824374696839534,0.12249999999999998,0.0349354563604243,3.7839667441285996,0.04822683718431475,3.625942602386754,0.08489407337118213,3.881114793340431,0.1384107337479354,3.751809768592492,0.1615633022896899,0.09714804921183114,0.15717914284903522,0.0,0.0,0.0,0.0,0.49009568075662907,0.5497168192433709,no or very weak signal
CKD,COND_DDPM,2,5,15,0.0,0.0,0.5206354166666667,0.03473998156943157,0.53403125,0.018610578285801458,0.06806250000000001,0.037221156571602916,0.011666666666666667,0.011562030771259673,0.0675,0.012638125740085918,0.11666666666666667,0.024825781849610394,3.4685230875325344,0.04959296874830428,3.3011700922682294,0.034956938410046164,3.544645227713172,0.17024175854822288,3.4837374175899427,0.13491943924833869,0.07612214018063723,0.20073539516265046,0.0,0.0,0.0,0.0,0.5247708333333334,0.031022667039210115,0.5325,0.02037267395763325,0.06499999999999996,0.04074534791526651,0.011666666666666667,0.011562030771259673,0.0675,0.012638125740085918,0.11666666666666667,0.024825781849610394,3.5234605912791475,0.05059719297417034,3.3613805203818323,0.059252435038581575,3.6195884995277097,0.1686648135918116,3.583933828259186,0.11974913213715685,0.09612790824856213,0.1891622763732471,0.0,0.0,0.0,0.0,0.48625110454248366,0.5632905621241832,no or very weak signal
CKD,COND_DDPM,3,5,15,0.0,0.0,0.5203020833333334,0.030233632545434614,0.5300520833333334,0.017331506877428803,0.06010416666666667,0.034663013754857544,0.009166666666666667,0.009033118078616169,0.05416666666666666,0.01613743060919757,0.10833333333333332,0.026352313834736497,3.35679500586208,0.0561259059037971,3.2218357426415016,0.08062309741261511,3.4483014738880406,0.1657887911721729,3.3470331613079907,0.11517098868529944,0.09150646802596034,0.18930858329940595,0.0,0.0,0.0,0.0,0.5228125,0.030351425644085835,0.5313333333333333,0.01856069803964142,0.06266666666666668,0.037121396079282845,0.009166666666666667,0.009033118078616169,0.05416666666666666,0.01613743060919757,0.10833333333333332,0.026352313834736497,3.410788475821099,0.06539373110090886,3.2798837763539543,0.06860362801846863,3.5247241943653798,0.16833514300509275,3.427363678175779,0.09854875454654774,0.1139357185442806,0.19316841115050304,0.0,0.0,0.0,0.0,0.48512622748358014,0.5604987725164199,no or very weak signal
CKD,EMPIRICAL_BOOTSTRAP,1,5,15,0.0,0.0,0.8137916666666666,0.014728140802912513,0.8137916666666666,0.014728140802912513,0.6275833333333333,0.02945628160582502,0.6375,0.024116326880813,0.6558333333333333,0.0244025841072439,0.6725,0.023124061542519374,1.2649872963003095,0.08226055647458545,2.199623547368343e-08,2.2653250398221375e-08,3.3878356871169863,0.1422299830708353,3.5186025921491746,0.10445599046108722,2.122848390816677,0.15066463304953515,0.5458333333333334,0.021850184336878152,0.0,0.0,0.8137916666666666,0.014528701613458693,0.8137916666666666,0.014528701613458693,0.6275833333333332,0.029057403226917328,0.6375,0.024116326880813,0.6558333333333333,0.0244025841072439,0.6725,0.023124061542519374,1.2764418163861568,0.08632565173132206,2.199623547368343e-08,2.2653250398221375e-08,3.413214897493692,0.13775366018760926,3.5478514790704248,0.09956365099236861,2.1367730811075347,0.14141363189953218,0.5458333333333334,0.021850184336878152,0.0,0.0,0.79575190093259,0.8318314324007432,strong signal
CKD,EMPIRICAL_BOOTSTRAP,2,5,15,0.0,0.0,0.94665625,0.012364576751613027,0.94665625,0.012364576751613027,0.8933125000000001,0.02472915350322592,0.8875,0.023753654689565404,0.8958333333333333,0.021245914639969946,0.9016666666666666,0.02011253064357863,0.35690181396275444,0.08403705014071318,0.0,0.0,3.278804581327268,0.13786266267691594,3.373172958314785,0.07439721605249927,2.9219027673645135,0.12604222026886314,0.7783333333333333,0.028012893856619384,0.0,0.0,0.9465625,0.012483170093781333,0.9465625,0.012483170093781333,0.8931250000000001,0.024966340187562712,0.8875,0.023753654689565404,0.8958333333333333,0.021245914639969946,0.9016666666666666,0.02011253064357863,0.359638003549542,0.08582626451622824,0.0,0.0,3.298348222239478,0.13247030075521385,3.3980368008167616,0.04121962966075568,2.938710218689936,0.1160942411082019,0.7766666666666666,0.027575653512957196,0.0,0.0,0.9310625971110977,0.9620624028889022,strong signal
CKD,EMPIRICAL_BOOTSTRAP,3,5,15,0.0,0.0,0.9698020833333333,0.0029548743716245503,0.9698020833333333,0.0029548743716245503,0.9396041666666666,0.0059097487432490485,0.9433333333333334,0.011636866703140767,0.9466666666666667,0.007453559924999254,0.9466666666666667,0.007453559924999254,0.19039625843385577,0.022420165854083608,0.0,0.0,3.2509437101042087,0.1365877276749191,3.324008989238537,0.09326728722209614,3.0605474516703532,0.12910319025720743,0.8175000000000001,0.036252394556926956,0.0,0.0,0.9698541666666667,0.0029304455037918765,0.9698541666666667,0.0029304455037918765,0.9397083333333333,0.005860891007583915,0.9433333333333334,0.011636866703140767,0.9466666666666667,0.007453559924999254,0.9466666666666667,0.007453559924999254,0.19146115268237326,0.023250968428284273,0.0,0.0,3.2672858542276773,0.12987802750903368,3.340071779219477,0.0683629986835386,3.0758247015453035,0.12156114421332055,0.8099999999999999,0.03948452580160705,0.0,0.0,0.9662155379859102,0.9734927953474232,strong signal
CKD,GAUSSIAN_EMPIRICAL,1,5,15,0.0,0.0,0.5000729166666666,0.017350888483394607,0.5146145833333333,0.0061202459937739016,0.029229166666666646,0.012240491987547814,0.010833333333333332,0.008122328620674137,0.06,0.010865337342004414,0.11499999999999999,0.027732602153822894,3.769370481941037,0.049143258133574674,4.038767382886928,0.04203834825139505,3.739213579459059,0.16736940253760457,4.062235021761697,0.07672748029136552,-0.03015690248197833,0.14962170395052232,0.0,0.0,0.0,0.0,0.5015208333333333,0.017142436188873046,0.5147916666666668,0.005972916121671867,0.029583333333333343,0.011945832243343762,0.010833333333333332,0.008122328620674137,0.06,0.010865337342004414,0.11499999999999999,0.027732602153822894,3.8088032257962636,0.0509796472659076,4.13681023512491,0.08061440084291531,3.791273708662586,0.16812551590555092,4.136203009526678,0.0959851417472952,-0.01752951713367811,0.14309205280216494,0.0,0.0,0.0,0.0,0.4802356874761043,0.5228059791905623,no or very weak signal
CKD,GAUSSIAN_EMPIRICAL,2,5,15,0.0,0.0,0.5018958333333334,0.02070345584117202,0.5179375,0.005561783076458744,0.03587499999999996,0.011123566152917564,0.011666666666666669,0.0018633899812498256,0.05583333333333333,0.01945436254988125,0.1075,0.024188208789499982,3.5831177084530124,0.021393321010272175,3.927768136918705,0.08241469425284112,3.583730778695692,0.14974726435047397,3.9086090224016674,0.0805214902080198,0.0006130702426796169,0.15346909749888676,0.0,0.0,0.0,0.0,0.5038541666666667,0.021556995321914137,0.5182499999999999,0.008181941895239976,0.0365,0.01636388379047994,0.011666666666666669,0.0018633899812498256,0.05583333333333333,0.01945436254988125,0.1075,0.024188208789499982,3.6183275639009387,0.016795549226382493,3.993923769967624,0.07984982952963002,3.625631591795762,0.1463525510631279,3.989452708430963,0.07176276042720961,0.007304027894822487,0.1448292857427851,0.0,0.0,0.0,0.0,0.47708762166599894,0.5306207116673345,no or very weak signal
CKD,GAUSSIAN_EMPIRICAL,3,5,15,0.0,0.0,0.5041979166666668,0.019430245777006052,0.5172604166666666,0.005211535473977669,0.034520833333333355,0.010423070947955372,0.0125,0.005892556509887896,0.0675,0.016244657241348274,0.12250000000000001,0.015756392000990868,3.470563754366746,0.034211082780030405,3.806226003988365,0.04322331676390369,3.4725510985746615,0.1394038405409496,3.8187228904237025,0.046615701501871214,0.0019873442079161863,0.1531820251650427,0.0,0.0,0.0,0.0,0.5070416666666666,0.01635604918836096,0.5155416666666667,0.0059414506228254085,0.031083333333333362,0.01188290124565079,0.0125,0.005892556509887896,0.0675,0.016244657241348274,0.12250000000000001,0.015756392000990868,3.4994168990512877,0.031735538725669886,3.834364444073688,0.06626035788117991,3.5129149452396993,0.12703706984603905,3.8799177239328158,0.050307537844753523,0.013498046188411486,0.13139905309620117,0.0,0.0,0.0,0.0,0.4867329492366289,0.5273503840967043,no or very weak signal
Cleveland,COND_DDPM,1,5,15,0.0,0.0,0.5475051509450864,0.025085934212614642,0.5475051509450864,0.025085934212614642,0.0950103018901729,0.050171868425229305,0.02295081967213115,0.019473802930279192,0.0721311475409836,0.02927452510596475,0.14207650273224043,0.04143647783634727,2.0481654267119636,0.03988607451799596,2.021238739211171,0.05752498987991562,2.1489103404149645,0.027852114018546942,2.1097822971033624,0.025476003510389925,0.10074491370300069,0.04691447672012652,0.0,0.0,0.0,0.0,0.5443339604049091,0.026553866857771932,0.5454268565797724,0.02572519329298119,0.09085371315954491,0.05145038658596242,0.027322404371584702,0.026206729635588632,0.08633879781420764,0.04361326762674299,0.12568306010928962,0.04933188547887373,2.140727893817081,0.0432598545140716,2.126702577520956,0.06059541806518129,2.236911430118802,0.03233702451430703,2.1974971007829853,0.027035919412818164,0.09618353630172065,0.05741974840306752,0.0,0.0,0.0,0.0,0.5113629799145176,0.5773049408953006,no or very weak signal
